Content Type,Slug,Title,Content ID,Course,Unit,Lesson,Lesson Order,Khan Academy URL
Article,"3d-figures-faq","3D figures FAQ",x16c76f91b3fa9a61,"6th grade math","3D figures","Surface area",6,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/3d-figures-faq
Article,"arithmetic-with-rational-numbers-faq","Arithmetic with rational numbers FAQ",x11ac5bfa3043b64e,"6th grade math","Arithmetic with rational numbers","Dividing decimals",10,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/arithmetic-with-rational-numbers-faq
Article,"coordinate-plane-faq","Coordinate plane FAQ",x477ef2f6ce0683e2,"6th grade math","Coordinate plane","Polygons on the coordinate plane",11,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/coordinate-plane-faq
Article,"data-and-statistics-faq","Data and statistics FAQ",x86c30d5d7eaa7148,"6th grade math","Data and statistics","Shape of data distributions",4,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/data-and-statistics-faq
Article,"equations-and-inequalities-faq","Equations and inequalities FAQ",x3032117afd20ade0,"6th grade math","Equations & inequalities","Analyzing relationships between variables",4,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/equations-and-inequalities-faq
Article,"evaluating-expressions-with-one-variable","Evaluating expressions with one variable",x1e98cd6a,"6th grade math","Variables & expressions","Substitution & evaluating expressions",5,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/evaluating-expressions-with-one-variable
Article,"evaluating-expressions-with-two-variables","Evaluating expressions with two variables",xb79cc5bd,"6th grade math","Variables & expressions","Evaluating expressions with multiple variables",4,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/evaluating-expressions-with-two-variables
Article,"evaluating-expressions-with-two-variables-with-fractions-and-decimals","Evaluating expressions with two variables: fractions & decimals",x20b59b43,"6th grade math","Variables & expressions","Evaluating expressions with multiple variables",5,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/evaluating-expressions-with-two-variables-with-fractions-and-decimals
Article,"exponents-and-order-of-operations-faq","Exponents and order of operations FAQ",xcf4eb8929746061d,"6th grade math","Exponents and order of operations","More on order of operations",6,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/exponents-and-order-of-operations-faq
Article,"interquartile-range-review","Interquartile range review",xbab1ad18,"6th grade math","Data and statistics","Interquartile range (IQR)",3,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/interquartile-range-review
Article,"negative-numbers-faq","Negative numbers FAQ",x7a71db4de02d370f,"6th grade math","Negative numbers","Comparing absolute values",8,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/negative-numbers-faq
Article,"plane-figures-faq","Plane figures FAQ",x00c5d11d658589f7,"6th grade math","Plane figures","Area of composite figures",5,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/plane-figures-faq
Article,"properties-of-addition","Properties of addition",xffe420cb,"6th grade math","Variables & expressions","Properties of numbers",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/properties-of-addition
Article,"properties-of-multiplication","Properties of multiplication",x3656c088,"6th grade math","Variables & expressions","Properties of numbers",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/properties-of-multiplication
Article,"rates-and-percentages-faq","Rates and percentages FAQ",xd245c17092a66d1a,"6th grade math","Rates and percentages","Percent word problems",2,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/rates-and-percentages-faq
Article,"ratios-faq","Ratios FAQ",x32ed5acfb8c3add5,"6th grade math","Ratios","Ratio application",6,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/ratios-faq
Article,"surface-area-review","Surface area review",x6b63cd9a,"6th grade math","3D figures","Surface area",5,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/surface-area-review
Article,"variables-and-expressions-faq","Variables and expressions FAQ",xf9e6adfb6d4e6f02,"6th grade math","Variables & expressions","Equivalent expressions",2,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/variables-and-expressions-faq
