Standard,Khan Academy Lesson Name,Exercise Link,Video Link,Exercise Completion Time,Video Time (min),Estimated XP,Corresponding IXL Lesson from G6 Skill Plan,,Total time,4.6,hours
6.NS.B.3,Adding And Subtracting Decimals Word Problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-arithmetic-operations/cc-6th-add-sub-decimals-word-problems/e/adding_and_subtracting_decimals_word_problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-arithmetic-operations/cc-6th-add-sub-decimals-word-problems/v/subtracting-decimals-word-problem,4,2,6,W73 - Complete addition and subtraction sentences,,Total XP,273,
TEKS 6.2A,Classify rational numbers,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:ordering-fractions-decimals-integers/x3931b57772b927b3:intro-to-negative-numbers/e/classify-rational-numbers,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:ordering-fractions-decimals-integers/x3931b57772b927b3:intro-to-negative-numbers/v/classifying-rational-numbers,4,3,7,,,,,
6.NS.C.7a,Compare rational numbers using a number line,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-negative-number-topic/cc-6th-comparing-negative-numbers/e/ordering-rational-numbers,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-negative-number-topic/cc-6th-comparing-negative-numbers/v/compare-rational-numbers-using-a-number-line,7,5,12,,,,,
6.NS.C.7.c,Meaning of absolute value,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-negative-number-topic/cc-6th-absolute-value/e/meaning-of-absolute-value,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-negative-number-topic/cc-6th-absolute-value/v/meaning-of-absolute-value,4,4,8,,,,,
6.NS.C.7.c,Interpreting absolute value,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-negative-number-topic/x0267d782:cc-6th-comparing-absolute-values/e/absolute-value-word-problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-negative-number-topic/x0267d782:cc-6th-comparing-absolute-values/v/interpreting-absolute-value,4,4,8,9CW-Absolute value and integers: word problems,,,,
6.NS.C.7.c,Compare and order absolute values,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-negative-number-topic/x0267d782:cc-6th-comparing-absolute-values/e/comparing_absolute_values,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-negative-number-topic/x0267d782:cc-6th-comparing-absolute-values/v/comparing-absolute-values-on-number-line,7,4,11,,,,,
6.NS.C.7.c,Comparing absolute values challenge,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-negative-number-topic/x0267d782:cc-6th-comparing-absolute-values/e/comparing-absolute-values-2,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-negative-number-topic/x0267d782:cc-6th-comparing-absolute-values/v/values-to-make-absolute-value-inequality-true,4,6,10,,,,,
6.RP.A.3.d,Ratios And Units Of Measurement,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-ratios-prop-topic/cc-6th-ratio-word-problems/e/ratios-and-units-of-measurement,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-ratios-prop-topic/cc-6th-ratio-word-problems/v/ratios-and-measurement,4,7,11,"RLZ-Equivalent ratios: word problems
ZB9-Ratios and rates: word problems
2HT-Compare ratios: word problems",,,,
6.EE.A.2,Writing basic expressions word problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-alg-expression-word-problems/e/writing-expressions-with-variables-word-problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-alg-expression-word-problems/v/writing-basic-expressions-from-word-problems-examples,7,3,10,,,,,
6.EE.B.6,Model with one-step equations,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities/cc-6th-super-yoga/e/equations-in-one-variable-1,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities/cc-6th-super-yoga/v/constructing-basic-equations-examples,4,5,9,,,,,
