Set ID,Standard ID,Standard Description,Content Kind,Content Title,Content URL
NGSS.MS,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,Exercise,Apply: compounds and chemical formulas,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/e/apply-compounds-and-chemical-formulas
NGSS.MS,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,Exercise,Apply: mixtures,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:mixtures/e/apply-mixtures
NGSS.MS,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,Exercise,Apply: the periodic table,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:elements-and-atoms/e/apply-periodic-table
NGSS.MS,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,Video,Atoms,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:elements-and-atoms/v/atoms
NGSS.MS,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,Video,Compounds and chemical formulas,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/v/compounds-and-chemical-formulas
NGSS.MS,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,Video,Elements,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:elements-and-atoms/v/elements
NGSS.MS,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,Article,"Molecules, compounds, and chemical formulas",https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/a/compounds-and-chemical-formulas
NGSS.MS,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,Video,"Molecules, crystals, and diatomic elements",https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/v/molecules-crystals-and-diatomic-elements
NGSS.MS,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,Video,Properties of homogeneous mixtures,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:mixtures/v/properties-of-homogeneous-mixtures
NGSS.MS,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,Video,The periodic table,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:elements-and-atoms/v/the-periodic-table
NGSS.MS,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,Exercise,Understand: compounds and chemical formulas,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/e/understand-compounds-and-chemical-formulas
NGSS.MS,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,Exercise,Understand: mixtures,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:mixtures/e/understand-mixtures
NGSS.MS,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,Exercise,Understand: the periodic table,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:elements-and-atoms/e/understand-the-periodic-table
NGSS.MS,MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,Exercise,Apply: chemical changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:chemical-changes/xc370bc422b7f75fc:chemical-changes-ms/e/apply-chemical-changes
NGSS.MS,MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,Video,Chemical changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:chemical-changes/xc370bc422b7f75fc:chemical-changes-ms/v/chemical-changes
