Set ID,Standard ID,Standard Description,Content Kind,Content Title,Content URL
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Video,Evaluating expressions with variables: exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-7th-evaluating-expressions-word-problems/v/evaluating-exponential-expressions
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Article,Exponents review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/cc-6th-exponents/a/exponents-review
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Video,Intro to exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/cc-6th-exponents/v/introduction-to-exponents
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Article,Intro to exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/cc-6th-exponents/a/introduction-to-exponents
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Exercise,Meaning of exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/cc-6th-exponents/e/positive_and_zero_exponents
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Video,Order of operations example,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-negative-numbers-multiply-and-divide/cc-7th-order-of-operations/v/order-of-operations-1
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Exercise,Order of operations with fractions and exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:more-on-order-of-operations/e/evaluating-numerical-expressions-with-exponents
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Video,Powers of fractions,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:powers-of-fractions-and-decimals/v/powers-of-fractions
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Exercise,Powers of fractions & decimals,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:powers-of-fractions-and-decimals/e/powers-of-fractions
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Exercise,Powers of whole numbers,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:powers-of-whole-numbers/e/exponents
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Video,Powers of zero,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-exp-prop-integers/v/powers-of-zero
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Article,Squaring numbers,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/cc-6th-exponents/a/squaring-numbers
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Video,The 0 & 1st power,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/exponents-with-negative-bases/v/raising-a-number-to-the-0th-and-1st-power
CCSS.Math,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Video,The zeroth power,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:powers-of-whole-numbers/v/the-zeroth-power
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Evaluating exponent expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-substitution/v/evaluating-exponent-expressions-with-variables
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Evaluating expressions like 5x² & ⅓(6)ˣ,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-substitution/v/evaluating-expressions-5x2
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Article,Evaluating expressions with variables word problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-7th-evaluating-expressions-word-problems/a/evaluating-expressions-with-variables-in-word-problems
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Exercise,Evaluating expressions with variables word problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-7th-evaluating-expressions-word-problems/e/evaluating-expressions-3
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Evaluating expressions with variables: cubes,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-7th-evaluating-expressions-word-problems/v/evaluating-expressions-3-exercise
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Evaluating expressions with variables: exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-7th-evaluating-expressions-word-problems/v/evaluating-exponential-expressions
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Evaluating expressions with variables: temperature,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-7th-evaluating-expressions-word-problems/v/evaluate-a-formula-using-substitution
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Expression value intuition,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/expression-value-intuition/v/expression-value-change-examples
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Article,Expression value intuition,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/expression-value-intuition/a/thinking-about-changing-values-of-variables-and-expressions
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Exercise,Expression value intuition,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/expression-value-intuition/e/expression-value-intuition
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Intro to order of operations,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-negative-numbers-multiply-and-divide/cc-7th-order-of-operations/v/introduction-to-order-of-operations
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Exercise,Order of operations,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:more-on-order-of-operations/e/order_of_operations_2
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Order of operations example,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-negative-numbers-multiply-and-divide/cc-7th-order-of-operations/v/order-of-operations-1
