Standard,Khan Academy Lesson Name,Exercise Link,Video Link,Exercise Completion Time,Video Time (min),Estimated XP,Corresponding IXL Lesson from G4 Skill Plan,,,,,,,
4.OA.C.5,Patterns with shapes,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-factors-multiples-and-patterns/imp-math-patterns/e/patterns-with-shapes,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-factors-multiples-and-patterns/imp-math-patterns/v/math-patterns-example-1,4,4,8,"DP8 - Use a rule to complete an input/output table

",,,,,Total time,3.5,hours
4.NF.C.5,Equivalent Fractions With Denominators Of 10 And 100,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-fractions-2/imp-fractions-with-denominators-of-10-and-100/e/equivalent-fractions-with-denominators-of-10-and-100,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-fractions-2/imp-fractions-with-denominators-of-10-and-100/v/visually-converting-from-tenths-to-hundredths,7,4,11,"VLP – Fractions with denominators of 10 and 100
TZH – Identify fraction expressions with a particular sum: denominators of 10 and 100 ",,,,,Total XP,210,
4.NF.C.5,"Equivalent expressions with common denominators (denominators 10 & 100)
Add fractions (denominators 10 & 100)","https://www.khanacademy.org/math/cc-fourth-grade-math/imp-fractions-2/imp-fractions-with-denominators-of-10-and-100/e/write-fraction-addition-problems-with-common-denominators--denominators-of-10-and-100-
https://www.khanacademy.org/math/cc-fourth-grade-math/imp-fractions-2/imp-fractions-with-denominators-of-10-and-100/e/adding_fractions_0.5",https://www.khanacademy.org/math/cc-fourth-grade-math/imp-fractions-2/imp-fractions-with-denominators-of-10-and-100/v/adding-tenths-to-hundredths,11,3,14,,,,,,,,
4.NF.C.6,Converting Fractions To Decimals 0.5,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-decimals/writing-fractions-as-decimals/e/converting_fractions_to_decimals_0.5,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-decimals/writing-fractions-as-decimals/v/rewriting-fractions-as-decimals-math-4th-grade-khan-academy,4,4,8,"WUN – Graph tenths on a number line: fractions and mixed numbers 
Q48 – Graph hundredths on a number line: fractions and mixed numbers",,,,,,,
4.NF.C.6,Converting Decimals To Fractions 1,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-decimals/imp-converting-decimals-to-fractions/e/converting_decimals_to_fractions_1,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-decimals/imp-converting-decimals-to-fractions/v/decimals-and-fractions,7,3,10,,,,,,,,
4.NBT.B.5,"Multiplying By 4 Digit Numbers With Visual Models
Multiply 3 And 4 Digits By 1 Digit With Distributive Property","https://www.khanacademy.org/math/cc-fourth-grade-math/imp-multiplication-and-division-2/imp-multi-digit-multiplication-place-value-and-area-models/e/multiplying-by-4-digit-numbers-with-visual-models
https://www.khanacademy.org/math/cc-fourth-grade-math/imp-multiplication-and-division-2/imp-multi-digit-multiplication-place-value-and-area-models/e/multiply-3--and-4-digits-by-1-digit-with-distributive-property",https://www.khanacademy.org/math/cc-fourth-grade-math/imp-multiplication-and-division-2/imp-multi-digit-multiplication-place-value-and-area-models/v/4-by-1-multiplication-with-grid,8,4,12,"W6B – Multiplication patterns over increasing place values: up to thousands 
M2N – Multiply by 10 or 100 
SSA – Multiply 1-digit numbers by 2-digit or 3-digit numbers: word problems",,,,,,,
4.NBT.B.6,"Create Division Equations With Area Models
Divide by 1-digit numbers with area models","https://www.khanacademy.org/math/cc-fourth-grade-math/division/division-with-area-models/e/create-division-equations-with-area-models
https://www.khanacademy.org/math/cc-fourth-grade-math/division/division-with-area-models/e/multi-digit-division-with-visual-models",https://www.khanacademy.org/math/cc-fourth-grade-math/division/division-with-area-models/v/area-models-to-visualize-division-using-place-value,8,8,16,"L8X – Divide 2-digit numbers by 1-digit numbers: without remainders 
HSH – Divide 4-digit numbers by 1-digit numbers: without remainders 
J8D – Divide larger numbers by 1-digit numbers: interpret remainders ",,,,,,,
4.NBT.B.6,Division Using Place Value Understanding,https://www.khanacademy.org/math/cc-fourth-grade-math/division/division-place-value-and-area/e/division-using-place-value-understanding,https://www.khanacademy.org/math/cc-fourth-grade-math/division/division-place-value-and-area/v/division-using-understanding-of-place-value,4,8,12,,,,,,,,
4.MD.B.4,Interpreting Line Plots With Fraction Addition And Subtraction,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-fractions-2/imp-line-plots-with-fractions/e/interpreting-line-plots-with-fraction-addition-and-subtraction,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-fractions-2/imp-line-plots-with-fractions/v/interpreting-data-in-line-plots,4,3,7,FVD – Create and interpret line plots with fractions,,,,,,,
4.MD.B.4,Reading stem and leaf plots,https://www.khanacademy.org/math/grade-4-fl-best/x8c54781eac315a31:data/x8c54781eac315a31:stem-and-leaf-plots/e/reading_stem_and_leaf_plots,https://www.khanacademy.org/math/grade-4-fl-best/x8c54781eac315a31:data/x8c54781eac315a31:stem-and-leaf-plots/v/reading-stem-and-leaf-plots,4,3,7,"UDS - Create stem-and-leaf plots

",,,,,,,
